region,mse,rmse,rmse_pct,forecast_standard_deviation
Region 031,3851041049.174942,62056.756676247125,0.496739,96920.96392921715
Region 032,4264285662.882409,65301.49816721213,0.551291,103567.6322631755
Region 033,2136950547.8243895,46227.16244616783,0.514699,76565.3530332707
Region 10,1657920335.055272,40717.56789219209,0.661561,58019.407019228995
Region 13,671392281.6655723,25911.238520487055,0.491749,51612.86695431937
Region 14,236493276.58846197,15378.337900711571,0.513857,30638.581408384416
Region 15,129322683.29774685,11372.013159407918,0.432334,25043.728104847003
Region 33,3.4847315807720846e-23,5.903161509540531e-12,0.0,287.5034759246402
Region 9,7110016765.617913,84320.91535092532,0.725922,107568.1498264152
