specialty,mse,rmse,rmse_pct,forecast_standard_deviation
ALARMS,337548272.80755717,18372.48684330886,0.900155,21909.962314381453
BUILDING,211925052.31505767,14557.645836984002,0.535259,35493.01325967673
CARPENTRY,16154789550.73035,127101.49310975993,0.773717,123169.47896256448
CLEANING,446772801.686341,21137.000773201977,0.495321,41886.29978572759
"Compactor, Baler, Docks",0.0,0.0,,0.0
DOOR REPAIR,147685688.1850546,12152.600058631675,0.615742,14671.828983778418
Door - Auto,0.0,0.0,,0.0
Door - Other Door Repairs,4.1544996985224643e-19,6.445540860565903e-10,0.0,48180.74652366336
"Door - Overhead, Rollup",0.0,0.0,,0.0
Door - Perimeter Alarm,0.0,0.0,,0.0
ELEC-LOW VOLTAGE,3.413208654830444e-23,5.842267243827899e-12,0.0,300.1832154883717
ELECTRICAL,169703001.4888238,13027.010458613435,2.175593,13710.993777509042
ELEVATOR,0.0,0.0,,0.0
ELEVATOR REPAIR,1.565676903643112e-24,1.2512701161792013e-12,0.0,305.7700107044865
ENERGY MGMT,0.0,0.0,,0.0
Energy Management,0.0,0.0,,0.0
FIRE PREVENTION,556569486.0877299,23591.724949391257,0.885747,28560.467886176768
FLOOR REPAIR,177630875.548303,13327.82336123581,0.902103,12614.29881752098
FOOD EQUIP,31593927.151469078,5620.847547431711,1.488023,4085.732220135388
FRONT END,182671750.20651197,13515.611351563493,0.799274,8124.063961459961
Fire Prevention - Alarms,1.0001043567355338e-19,3.162442658350557e-10,0.0,43805.72406881246
Fire Prevention - Ansul,1.6769349840226275e-19,4.0950396628392107e-10,0.0,14023.384726373897
Fire Prevention - Extinguisher,1.8305765449739925e-21,4.278523746543885e-11,0.0,10256.662538868874
Fire Prevention - Sprinkler,7.555838438453678e-20,2.748788540148856e-10,0.0,32374.12636033459
Flooring Repairs,2.5166066443116395e-20,1.5863816200119186e-10,0.0,16091.986578435057
Food Equipment,0.0,0.0,,0.0
Front End - Cart Corral,4.7367808460672005e-21,6.882427512198875e-11,0.0,2053.301338696181
Front End - Mart Carts,5.073913962445159e-22,2.252535008039866e-11,0.0,10029.113611776398
Front End - Register Lanes,1.3479663253137599e-20,1.1610195197815409e-10,0.0,7852.059355823243
Front End - Technology,0.0,0.0,,0.0
GAS STATION,4213653.551088287,2052.7185757156985,2.275244,1546.8172222229696
GLASS REPAIR,60139726.21582492,7754.980736006049,0.607471,12747.512821301754
Gas Station Equipment,0.0,0.0,,0.0
General Maintenance,6.592069325676567e-19,8.119155944848311e-10,0.0,121528.55573680993
HVAC,4202039.697066669,2049.8877279174753,2.656377,1635.2422788112938
HVAC Repair,0.0,0.0,,0.0
Jacks - Manual,1.7564663319680697e-23,4.1910217512774494e-12,0.0,136.81571199975932
Jacks - Powered,0.0,0.0,,0.0
Janitorial - Cart Cleaning,0.0,0.0,,0.0
Janitorial - Floor Care,5.1456010774779916e-20,2.2683917380994827e-10,0.0,19872.771917904865
Janitorial - Window Cleaning,1.8051956711005393e-21,4.2487594319995796e-11,0.0,2008.3332457039944
LIGHTING,0.0,0.0,,0.0
LOCKSMITH,4809887.816486377,2193.1456441573546,0.596679,2450.042437039532
Landscaping,3.0710889698621112e-21,5.541740674068132e-11,0.0,3624.7911714868496
Legacy Metrix Specialty,0.0,0.0,,0.0
Life Safety,8.230447094902625e-23,9.07218115719843e-12,0.0,1174.3832225718845
MILLWRIGHT,35647267.972295865,5970.533307192572,0.661184,7835.313167268271
OPERATIONS REQUEST,6269506184.851006,79180.21334178765,0.806377,89987.90756021641
PAINTING,81470997.42824209,9026.128595817927,0.869236,11230.018721323902
PEST CONTROL,18292972.679811846,4277.028487140557,0.676721,6483.372776533834
PLUMBING,69222618.96091554,8320.01315869846,1.319431,6467.970443050271
PLUMBING-DRAINS,466563.553464979,683.0545757587596,1.549434,635.2162117043915
PLUMBING-EXTERIOR,45195.37921522422,212.59204880527452,0.543206,838.0903632320482
Parking Lot - Line Painting,2.505640366171461e-19,5.005637188382176e-10,0.0,1188.1357947076895
Parking Lot - Lot Sweeping,4.2913225450456096e-23,6.550818685512223e-12,0.0,684.9261128034209
Parking Lot - Repairs,5.867951314114821e-16,2.4223854594417506e-08,0.0,4090.6006530230297
Plumbing - Drains,0.0,0.0,,0.0
Plumbing - EVAC,0.0,0.0,,0.0
Plumbing - General Repairs,8.772248665138643e-23,9.366028328559894e-12,0.0,1875.1695702576917
Pressure Washing,5.3823743589226534e-18,2.319994473899163e-09,0.0,11359.695303636985
REFRIGERATION,45705539.439385734,6760.587211136747,1.039063,5830.93278567582
ROOF REPAIR,11040763.069900557,3322.7643717092787,1.19228,8280.017233373666
Refrigeration Repair,2.749743726770384e-27,5.243799888220739e-14,0.0,48.562883786207024
Roofing,0.0,0.0,,0.0
SIGN REPAIR,8.654975426138277e-21,9.303212040009771e-11,0.0,774.6166136838492
STARBUCKS,9.52550174143096e-25,9.759867694508444e-13,0.0,326.58691804786037
STORE EXTERIOR,192304649.20472637,13867.395184558864,0.675981,20594.258225740305
VENTILATION,3.326017769454049e-22,1.8237373082365917e-11,0.0,610.6795407970807
Welding and Fabrication,0.0,0.0,,0.0
