specialty,y,total_labor_hours,wo#
REFRIGERATION,57141.33740574023,-55.52140134871907,133.87139402424253
REFRIGERATION,236149.1958543396,4094.23987248964,527.2113749382255
REFRIGERATION,370086.4440005218,7377.765985235636,821.6750071786045
REFRIGERATION,468542.66502400406,9884.588506801905,1038.0602921874797
REFRIGERATION,537978.973915714,11695.911091050577,1190.6387949465989
REFRIGERATION,585664.5353937532,12961.10712058322,1295.408755527429
REFRIGERATION,617779.1220947235,13823.869954431058,1365.9608394313236
REFRIGERATION,639088.6781590014,14401.841166402308,1412.7719717831405
REFRIGERATION,653065.1883729837,14783.77757086038,1443.472615499426
REFRIGERATION,662147.0343611568,15033.462026673173,1463.4207268833034
REFRIGERATION,668003.5535801008,15195.273484830082,1476.2839511549082
REFRIGERATION,671756.3678924917,15299.389611270082,1484.5263345555777
