type_category,y,total_labor_hours,wo#
Basic,578035.7181176792,1849.4160107290465,320.9399403470368
Basic,708844.7219215024,2513.840896509398,457.7860684999083
Basic,764345.2412401612,2883.381500398583,540.5111737361533
Basic,781812.8841657285,3073.5914891390867,580.7739732817136
Basic,781987.292647415,3157.417141421911,594.1557432448074
Basic,776005.1393329336,3183.0227430815266,593.528408765188
Basic,769281.1481127999,3180.9692307884607,587.4284962990731
Basic,763960.3231097513,3169.0115746498186,580.5759213166059
Basic,760493.0016621554,3156.175772763257,575.0338330790657
Basic,758593.6537127019,3146.108200794114,571.3152619172936
Basic,757768.9984547436,3139.545830525373,569.19465972172
Basic,757566.2779121236,3135.9320273079,568.206165803211
PMRM,-175.1977804204355,18633.528819957442,3731.9190947490524
PMRM,36.15173376357461,14468.168875609663,3276.2913371811046
PMRM,-130.20026654408832,14977.007076992413,3521.1623996335056
PMRM,-93.87865286802253,14020.817137189028,3515.2067895641107
PMRM,-120.21488241618044,13063.94163575982,3525.577838698607
PMRM,-148.09497507469086,12532.24539193912,3586.3138907539187
PMRM,-157.35254372742918,11702.582754380157,3600.6744174545533
PMRM,-180.06249306939208,11041.436413074167,3637.237838211369
PMRM,-195.84445502698009,10362.807407876026,3666.379756656789
PMRM,-212.67845100819693,9692.95104254577,3693.9900957056852
PMRM,-229.5139964085023,9058.243529213789,3723.1164002331816
PMRM,-245.13972702679405,8429.72615035945,3749.8316345438616
Request,2265821.3129626988,127243.5950283983,12587.857121547111
Request,2740360.4005487794,132595.20118208445,13957.260875400538
Request,3327269.2057792214,147439.64899905425,15856.782869380255
Request,4046822.5245543583,169080.45775980726,18230.36931312974
Request,4926021.146788072,196769.7366282219,21107.78873273745
Request,5998897.247781938,230818.78158302387,24571.466120608937
Request,7307486.953758745,272190.5520046275,28742.97191423427
Request,8903309.183812981,322332.73443621874,33779.637904534655
Request,10849311.864457497,383134.849171997,39876.7750315789
Request,13222314.872269506,456954.02269429545,47273.436607846794
Request,16116022.993460983,546684.2336194274,56260.90778357948
Request,19644716.574007127,655858.9701764594,67193.74546559081
